127.0.0.1, 2013-08-02 21:38:57, GET, /admin/default/ticket/nerva2py/127.0.0.1.2013-08-02.21-38-48.38499c40-6f6d-45fa-ba15-aadb0e9712b0, HTTP/1.1, 303, 0.239118
127.0.0.1, 2013-08-02 21:38:57, GET, /admin/default/index, HTTP/1.1, 200, 0.051004
127.0.0.1, 2013-08-02 21:38:57, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.000912
127.0.0.1, 2013-08-02 21:38:57, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.000910
127.0.0.1, 2013-08-02 21:38:57, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.000833
127.0.0.1, 2013-08-02 21:38:57, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000844
127.0.0.1, 2013-08-02 21:38:57, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000998
127.0.0.1, 2013-08-02 21:38:57, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000829
127.0.0.1, 2013-08-02 21:38:57, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000816
127.0.0.1, 2013-08-02 21:38:57, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000739
127.0.0.1, 2013-08-02 21:38:57, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001870
127.0.0.1, 2013-08-02 21:38:57, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.000769
127.0.0.1, 2013-08-02 21:38:57, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000754
127.0.0.1, 2013-08-02 21:38:57, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000788
127.0.0.1, 2013-08-02 21:39:01, POST, /admin/default/index, HTTP/1.1, 200, 0.125843
127.0.0.1, 2013-08-02 21:39:06, POST, /admin/default/index, HTTP/1.1, 200, 0.120309
127.0.0.1, 2013-08-02 21:39:55, GET, /, HTTP/1.1, 500, 0.266533
